program_id,tcas_year,year_ce,seats,applicants,accepted,min_score,max_score
10010137111301A,68,2025,110,2246,110,57.7638,68.5788
10010137111801A,63,2020,18,133,18,19272.4,21346.5
10010137111801A,64,2021,10,277,11,19845.34,20416.24
10010137111801A,65,2022,51,443,51,49.75,60.152
10010137111801A,66,2023,52,59,32,35.3549,75.8031
10010137111801A,67,2024,47,347,47,44.7149,53.7
10010137111801A,68,2025,44,598,44,51.395,61.3382
10010137111901A,63,2020,14,93,14,20506.5,22340
10010137111901A,64,2021,7,580,9,21238.4,21754
10010137111901A,65,2022,33,1018,33,58.1,65.3297
10010137111901A,66,2023,27,210,27,50.8013,71.847
10010137111901A,67,2024,30,763,30,54.8555,61.779
10010137111901A,68,2025,25,485,26,58.9665,76.3153
10010138113101A,63,2020,4,145,4,20818.2,21738
10010138113101A,64,2021,15,569,17,20479.2,23172.84
10010138113101A,65,2022,28,1314,28,60.2507,71.8275
10010138113101A,66,2023,30,684,30,61.5305,76.672
10010138113101A,67,2024,22,785,22,60.697,69.561
10010138113101A,68,2025,21,1383,21,82.361,87.777
10010139112001A,63,2020,50,331,50,16186.4,18436.1
10010139112001A,64,2021,30,486,40,16802.14,20064.6
10010139112001A,65,2022,100,650,100,44.3824,69.5
10010139112001A,66,2023,60,72,40,31.8702,59.5644
10010139112001A,67,2024,60,635,60,52.11,79.0088
10010139112001A,68,2025,60,420,60,53.7088,70.142
10010140900301A,63,2020,35,330,35,16782,19977.5
10010140900301A,64,2021,40,272,48,15719.7,19296.24
10010140900301A,65,2022,56,159,56,26.4745,49.7333
10010140900301A,66,2023,42,125,34,36.3552,85.2344
10010140900301A,67,2024,48,586,41,45.6108,65.7164
10010140900301A,68,2025,70,27,1,48.9376,48.9376
10020101111802A,66,2023,7,297,7,52.7131,55.2015
10020101111802A,67,2024,13,554,13,54.2772,64.6216
10020101111802A,68,2025,7,467,7,61.2662,65.066
10020101500101A,63,2020,15,44,15,9720,12437
10020101500101A,64,2021,11,182,12,12263.3,18007.1
10020101500101A,65,2022,17,61,14,19.0662,46.6108
10020101500101A,66,2023,21,48,17,32.1165,49.6264
10020101500101A,67,2024,13,172,13,41.8776,57.2442
10020101500101A,68,2025,9,152,9,48.033,60.2104
10020101500201A,63,2020,26,49,23,8754.5,12884.5
10020101500201A,64,2021,15,82,17,8246.5,13393
10020101500201A,65,2022,34,69,10,23.8853,41.472
10020101500201A,66,2023,26,37,13,33.8781,52.9764
10020101500201A,67,2024,25,141,25,36.1,53.1664
10020101500201A,68,2025,23,169,23,43.6772,56.5444
