program_id,university_slug,university_id,faculty_id,campus_id,campus_name_th,campus_name_en,program_name_th,program_name_en,program_type_id,program_type_name_th,field_id,field_name_th,field_name_en,cost,graduate_rate
10050209210401A,thammasat,005,09,02,ศูนย์รังสิต,RangsitCampus,วท.บ.สาขาวิชาเคมี,Bachelor of Science Program in Chemistry,A,ภาษาไทย ปกติ,04,เคมี,Chemistry,"18,700 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 78.87
10050209211001A,thammasat,005,09,02,ศูนย์รังสิต,RangsitCampus,วท.บ.สาขาวิชาวิทยาศาสตร์และเทคโนโลยีการอาหาร,Bachelor of Science Program in Food Science and Technology,A,ภาษาไทย ปกติ,10,เทคโนโลยีการอาหาร,Food Technology,"18,700 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 82.54
10050209211002A,thammasat,005,09,02,ศูนย์รังสิต,RangsitCampus,วท.บ.สาขาวิชาวิทยาศาสตร์และนวัตกรรมทางอาหาร,Bachelor  of  Science  Program  in  Food Science and Innovation,A,ภาษาไทย ปกติ,10,เทคโนโลยีการอาหาร,Food Technology,"18,700 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 85.00
10050209211201A,thammasat,005,09,02,ศูนย์รังสิต,RangsitCampus,วท.บ.สาขาวิชาเทคโนโลยีชีวภาพ,Bachelor of Science Program in Biotechnology,A,ภาษาไทย ปกติ,12,เทคโนโลยีชีวภาพ,Biotechnology,"18,700 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 75.00
10050209211401B,thammasat,005,09,02,ศูนย์รังสิต,RangsitCampus,วท.บ.สาขาวิชาเทคโนโลยีพลังงานชีวภาพและการแปรรูปเคมีชีวภาพ (โครงการพิเศษ),Bachelor  of  Science  Program  in  Bioenergy and Biochemical Refinery Technology,B,ภาษาไทย พิเศษ,14,เทคโนโลยีพลังงาน,Energy Technology,"382,920 (ตลอดหลักสูตร)",ร้อยละ 84.21
10050209211801A,thammasat,005,09,02,ศูนย์รังสิต,RangsitCampus,วท.บ.สาขาวิชาวิทยาศาสตร์และเทคโนโลยีสิ่งทอ,Bachelor of Science Program in Textile Science and Technology,A,ภาษาไทย ปกติ,18,เทคโนโลยีสิ่งทอ,Textile Technology,"18,700 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 56.60
10050209212701A,thammasat,005,09,02,ศูนย์รังสิต,RangsitCampus,วท.บ.สาขาวิชาฟิสิกส์,Bachelor of Science Program in Physics,A,ภาษาไทย ปกติ,27,ฟิสิกส์,Physics,"18,700 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 25.58
10050209212702A,thammasat,005,09,02,ศูนย์รังสิต,RangsitCampus,วท.บ.สาขาวิชาฟิสิกส์อิเล็กทรอนิกส์,Bachelor of  Science Program in Electronics Physics,A,ภาษาไทย ปกติ,27,ฟิสิกส์,Physics,"18,700 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 25.53
10050209212801A,thammasat,005,09,02,ศูนย์รังสิต,RangsitCampus,วท.บ.สาขาวิชาวัสดุศาสตร์,Bachelor of Science Program in Materials Science,A,ภาษาไทย ปกติ,28,วัสดุศาสตร์,Materials Science,"18,700 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 70.45
10050209213101A,thammasat,005,09,02,ศูนย์รังสิต,RangsitCampus,วท.บ.สาขาวิชาวิทยาศาสตร์สิ่งแวดล้อม,Bachelor of Science Program in Environmental Science,A,ภาษาไทย ปกติ,31,วิทยาศาสตร์สิ่งแวดล้อม,Environmental Science,"18,700 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 66.13
